"date_prod","mast_id","well_id","new_well","orph_well","state_name","dist_name","county_sl","wellnam_sl","wellnum_sl","legal_sl","sec_sl","twn_sl","twndir_sl","rng_sl","rngdir_sl","ftg1_sl","ftg1dir_sl","ftg1ref_sl","ftg2_sl","ftg2dir_sl","ftg2ref_sl","qtrsec_sl","ftgcor_sl","crtrqd1_sl","crtrqd2_sl","abstno_sl","blknam_sl","blknum_sl","srvynam_sl","srvynum_sl","well_ornt","county_bh","legal_bh","sec_bh","twn_bh","twndir_bh","rng_bh","rngdir_bh","ftg1_bh","ftg1dir_bh","ftg1ref_bh","ftg2_bh","ftg2dir_bh","ftg2ref_bh","qtrsec_bh","ftgcor_bh","crtrqd1_bh","crtrqd2_bh","abstno_bh","blknam_bh","blknum_bh","srvynam_bh","srvynum_bh","field_1","field_2","field_3","field_4","field_5","api_num","perm_num","well_purp","job_num","well_class","work_type","h2s_gas","date_aprv","date_spud","date_rels","well_prox","dril_name","dril_cont","dril_phone","dril_addr","dril_city","dril_state","dril_zip","rig_num","dril_term","p_t_d","well_depth","meas_depth","add_info","recrd_stat","well_actv","map_ref","well_long","well_lat","oper_name","oper_cont","oper_phone","oper_addr","oper_city","oper_state","oper_zip"
"2013-05-14","1244294","1244294",True,False,"AR","  ","CLEBURNE       ","HIPP 9-9                      ","1-7 H6                   ","7-9N-9W-350FSL-2079FWL                                      ","7   ","9  ","N","9  ","W","350  ","FSL   ","          ","2079 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","6-9N-9W-2383FSL-1310FWL                                     ","6   ","9  ","N","9  ","W","2383 ","FSL   ","          ","1310 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10837-  ","46345   ","   ","       ","GAS ","OD                  ",False,"2013-01-24","2013-05-15","","3.6 MI NE OF HOPEWELL         ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","7     ","DW",5000,0,13000,"                                                  ","WORK","MOL",5,-92.000325,35.419042,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
"2013-05-14","1244299","1244299",True,False,"AR","  ","CLEBURNE       ","HIPP 9-9                      ","2-7 H6                   ","7-9N-9W-350FSL-2059FWL                                      ","7   ","9  ","N","9  ","W","350  ","FSL   ","          ","2059 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","6-9N-9W-2362FSL-660FWL                                      ","6   ","9  ","N","9  ","W","2362 ","FSL   ","          ","660  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10838-  ","46346   ","   ","       ","GAS ","OD                  ",False,"2013-01-24","2013-05-23","","3.6 MI NE OF HOPEWELL         ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","7     ","DW",5000,0,13500,"                                                  ","PREP","ASN",1,-92.000392,35.419042,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
"2013-05-14","1244935","1244935",True,False,"AR","  ","CLEBURNE       ","SNEED 9-11                    ","12-31 H36                ","31-9N-11W-1379FSL-1077FWL                                   ","31  ","9  ","N","11 ","W","1379 ","FSL   ","          ","1077 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","36-9N-12W-512FNL-2316FWL                                    ","36  ","9  ","N","12 ","W","512  ","FNL   ","          ","2316 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10845-  ","46359   ","   ","       ","GAS ","OD                  ",False,"2013-01-28","2013-05-19","","1.2 MI S OF QUITMAN           ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","2     ","DW",5400,0,11000,"                                                  ","PREP","ASN",3,-92.213537,35.366673,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
"2013-05-14","1251049","1251049",False,False,"AR","  ","CLEBURNE       ","HILL                          ","5-21 H                   ","21-11N-11W-261FSL-1656FWL                                   ","21  ","11 ","N","11 ","W","261  ","FSL   ","          ","1656 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","21-11N-11W-560FNL-2319FEL                                   ","21  ","11 ","N","11 ","W","560  ","FNL   ","          ","2319 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10865-  ","46405   ","   ","       ","GAS ","OD                  ",False,"2013-02-19","2013-05-08","",".9 MI S OF GREERS FERRY       ","UNION DRILLING, INC.                   ","DARWIN HALE/DARWIN HALE           ","918-626-4100        ","P.O. BOX 811                           ","POCOLA                   ","OK","74902-0811","110   ","DW",2732,0,8500,"                                                  ","WORK","DRL",8,-92.171492,35.566023,"XTO ENERGY, INC.                       ","KENT SAMS/GREG BATES/KEITH SIMPSON","405-232-4011","210 PARK AVENUE, SUITE 2350            ","OKLAHOMA CITY            ","OK","73102-5683"
"2013-05-14","1259122","1259122",True,False,"AR","  ","CLEBURNE       ","JOHNSON 9-11                  ","5-29 H17                 ","29-9N-11W-1157FNL-593FWL                                    ","29  ","9  ","N","11 ","W","1157 ","FNL   ","          ","593  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","17-9N-11W-560FSL-1472FWL                                    ","17  ","9  ","N","11 ","W","560  ","FSL   ","          ","1472 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10889-  ","46493   ","   ","       ","GAS ","OD                  ",False,"2013-03-21","2013-05-21","","1.1 MI NE OF QUITMAN          ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","31    ","DW",1800,0,4800,"                                                  ","PREP","ASN",2,-92.197843,35.388698,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
"2013-05-14","1259126","1259126",True,False,"AR","  ","CLEBURNE       ","JOHNSON 9-11                  ","6-29 H17                 ","29-9N-11W-1166FNL-575FWL                                    ","29  ","9  ","N","11 ","W","1166 ","FNL   ","          ","575  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","17-9N-11W-560FSL-822FWL                                     ","17  ","9  ","N","11 ","W","560  ","FSL   ","          ","822  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10890-  ","46494   ","   ","       ","GAS ","OD                  ",False,"2013-03-21","2013-05-13","","1.1 MI NE OF QUITMAN          ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","31    ","DW",1800,267,4800,"                                                  ","WORK","DRL",6,-92.197904,35.388673,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
"2013-05-14","1259795","1259795",False,False,"AR","  ","CLEBURNE       ","HOUSTON 10-8                  ","9-23 H26                 ","23-10N-8W-362FSL-1085FEL                                    ","23  ","10 ","N","8  ","W","362  ","FSL   ","          ","1085 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","26-10N-8W-40FSL-1759FEL                                     ","26  ","10 ","N","8  ","W","40   ","FSL   ","          ","1759 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10894-  ","46504   ","   ","       ","GAS ","OD                  ",False,"2013-03-25","2013-05-10","","3.3 MI NE OF PANGBURN         ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","5     ","DW",3100,8714,9500,"                                                  ","WORK","DRL",7,-91.817043,35.477603,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
"2013-05-14","1259799","1259799",True,False,"AR","  ","CLEBURNE       ","HOUSTON 10-8                  ","10-23 H26                ","23-10N-8W-342FSL-1086FEL                                    ","23  ","10 ","N","8  ","W","342  ","FSL   ","          ","1086 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","26-10N-8W-40FSL-964FEL                                      ","26  ","10 ","N","8  ","W","40   ","FSL   ","          ","964  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10895-  ","46505   ","   ","       ","GAS ","OD                  ",False,"2013-03-25","2013-05-18","","3.3 MI NE OF PANGBURN         ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","5     ","DW",3100,0,9000,"                                                  ","PREP","ASN",4,-91.817048,35.477547,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
"2013-05-14","1261102","1261102",False,False,"AR","  ","COLUMBIA       ","MCWILLIAMS                    ","7                        ","17-18S-21W-2421FSL-1033FWL                                  ","17  ","18 ","S","21 ","W","2421 ","FSL   ","          ","1033 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","DIR","COLUMBIA       ","17-18S-21W-2360FNL-1351FWL                                  ","17  ","18 ","S","21 ","W","2360 ","FNL   ","          ","1351 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","DORCHEAT MACEDONIA  ","                    ","                    ","                    ","                    ","03-027-11925-  ","46468   ","   ","       ","OIL ","OD                  ",False,"2013-03-13","2013-04-22","","7 MI SW OF MAGNOLIA           ","RELIANCE WELL SERVICE, INC.            ","CHRIS STORY/MAX STORY             ","870-234-2700        ","P.O. BOX 787                           ","MAGNOLIA                 ","AR","71754-0787","RR2   ","  ",8800,0,8848,"                                                  ","WORK","DRL",2,-93.309567,33.175423,"BONANZA CREEK ENERGY RESOURCES, LLC    ","RICHARD POMRENKE/JOHN LARSON      ","713-337-1250","4 HOUSTON CENTER,1331 LAMAR, SUITE 1135","HOUSTON                  ","TX","77010     "
"2013-05-14","1261103","1261103",True,False,"AR","  ","COLUMBIA       ","CLOETTE                       ","5                        ","18-18S-21W-1596FSL-1778FWL                                  ","18  ","18 ","S","21 ","W","1596 ","FSL   ","          ","1778 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","VER","COLUMBIA       ","18-18S-21W-1596FSL-1778FWL                                  ","18  ","18 ","S","21 ","W","1596 ","FSL   ","          ","1778 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","DORCHEAT MACEDONIA  ","                    ","                    ","                    ","                    ","03-027-11926-  ","46469   ","   ","       ","OIL ","OD                  ",False,"2013-03-13","2013-04-29","","2 MI SW OF MACEDONIA          ","RELIANCE WELL SERVICE, INC.            ","CHRIS STORY/MAX STORY             ","870-234-2700        ","P.O. BOX 787                           ","MAGNOLIA                 ","AR","71754-0787","RR4   ","  ",8800,0,0,"                                                  ","WORK","DRL",1,-93.324513,33.173565,"BONANZA CREEK ENERGY RESOURCES, LLC    ","RICHARD POMRENKE/JOHN LARSON      ","713-337-1250","4 HOUSTON CENTER,1331 LAMAR, SUITE 1135","HOUSTON                  ","TX","77010     "
"2013-05-14","1252799","1252799",True,False,"AR","  ","CONWAY         ","LEDBETTER 7-16                ","14-14 H11                ","14-7N-16W-384FNL-365FEL                                     ","14  ","7  ","N","16 ","W","384  ","FNL   ","          ","365  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CONWAY         ","11-7N-16W-230FNL-640FEL                                     ","11  ","7  ","N","16 ","W","230  ","FNL   ","          ","640  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-029-11232-  ","46414   ","   ","       ","GAS ","OD                  ",False,"2013-02-22","2013-05-20","",".7 MI SE OF SOLGOHACHIA       ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","26    ","DW",7000,0,13000,"                                                  ","PREP","ASN",3,-92.663132,35.255422,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
"2013-05-14","1248047","1248047",True,False,"AR","  ","CONWAY         ","JONES-LAFFERTY 9-17           ","4-20 H29                 ","20-9N-17W-730FSL-1279FEL                                    ","20  ","9  ","N","17 ","W","730  ","FSL   ","          ","1279 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CONWAY         ","29-9N-17W-958FSL-1742FEL                                    ","29  ","9  ","N","17 ","W","958  ","FSL   ","          ","1742 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-029-11225-  ","46381   ","   ","       ","GAS ","OD                  ",False,"2013-02-07","2013-05-14","",".3 MI NNW OF JERUSALEM        ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","30    ","DW",4500,781,10400,"                                                  ","WORK","DRL",4,-92.821384,35.40691,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
