"date_prod","mast_id","well_id","new_well","orph_well","state_name","dist_name","county_sl","wellnam_sl","wellnum_sl","legal_sl","sec_sl","twn_sl","twndir_sl","rng_sl","rngdir_sl","ftg1_sl","ftg1dir_sl","ftg1ref_sl","ftg2_sl","ftg2dir_sl","ftg2ref_sl","qtrsec_sl","ftgcor_sl","crtrqd1_sl","crtrqd2_sl","abstno_sl","blknam_sl","blknum_sl","srvynam_sl","srvynum_sl","well_ornt","county_bh","legal_bh","sec_bh","twn_bh","twndir_bh","rng_bh","rngdir_bh","ftg1_bh","ftg1dir_bh","ftg1ref_bh","ftg2_bh","ftg2dir_bh","ftg2ref_bh","qtrsec_bh","ftgcor_bh","crtrqd1_bh","crtrqd2_bh","abstno_bh","blknam_bh","blknum_bh","srvynam_bh","srvynum_bh","field_1","field_2","field_3","field_4","field_5","api_num","perm_num","well_purp","job_num","well_class","work_type","h2s_gas","date_aprv","date_spud","date_rels","well_prox","dril_name","dril_cont","dril_phone","dril_addr","dril_city","dril_state","dril_zip","rig_num","dril_term","p_t_d","well_depth","meas_depth","add_info","recrd_stat","well_actv","map_ref","well_long","well_lat","oper_name","oper_cont","oper_phone","oper_addr","oper_city","oper_state","oper_zip"
"2013-05-07","1251046","1251046",True,False,"AR","  ","CLEBURNE       ","HILL                          ","4-21 H                   ","21-11N-11W-261FSL-1638FWL                                   ","21  ","11 ","N","11 ","W","261  ","FSL   ","          ","1638 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","21-11N-11W-560FNL-2360FWL                                   ","21  ","11 ","N","11 ","W","560  ","FNL   ","          ","2360 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10864-  ","46404   ","   ","       ","GAS ","OD                  ",False,"2013-02-19","2013-04-29","",".9 MI S OF GREERS FERRY       ","UNION DRILLING, INC.                   ","DARWIN HALE/DARWIN HALE           ","918-626-4100        ","P.O. BOX 811                           ","POCOLA                   ","OK","74902-0811","110   ","DW",2732,0,7567,"                                                  ","WORK","DRL",5,-92.171553,35.566023,"XTO ENERGY, INC.                       ","KENT SAMS/GREG BATES/KEITH SIMPSON","405-232-4011","210 PARK AVENUE, SUITE 2350            ","OKLAHOMA CITY            ","OK","73102-5683"
"2013-05-07","1259101","1259101",False,False,"AR","  ","CLEBURNE       ","JOHNSON 9-11                  ","8-29 H18                 ","29-9N-11W-1184FNL-539FWL                                    ","29  ","9  ","N","11 ","W","1184 ","FNL   ","          ","539  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","18-9N-11W-285FSL-429FEL                                     ","18  ","9  ","N","11 ","W","285  ","FSL   ","          ","429  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10892-  ","46496   ","   ","       ","GAS ","OD                  ",False,"2013-03-21","2013-05-03","","1.1 MI NE OF QUITMAN          ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","31    ","DW",1800,2940,4800,"                                                  ","WORK","DRL",3,-92.198026,35.388628,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
"2013-05-07","1259800","1259800",False,False,"AR","  ","CLEBURNE       ","HOUSTON 10-8                  ","11-23 H26                ","23-10N-8W-382FSL-1084FEL                                    ","23  ","10 ","N","8  ","W","382  ","FSL   ","          ","1084 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","26-10N-8W-40FSL-168FEL                                      ","26  ","10 ","N","8  ","W","40   ","FSL   ","          ","168  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10896-  ","46506   ","   ","       ","GAS ","OD                  ",False,"2013-03-25","2013-05-05","","3.3 MI NE OF PANGBURN         ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","5     ","DW",3100,2783,9800,"                                                  ","WORK","DRL",2,-91.817039,35.477657,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
"2013-05-07","1263527","1263527",False,False,"AR","  ","CLEBURNE       ","DALE DECKARD 10-9             ","3-4 H8                   ","4-10N-9W-1261FNL-667FWL                                     ","4   ","10 ","N","9  ","W","1261 ","FNL   ","          ","667  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","8-10N-9W-2200FNL-40FEL                                      ","8   ","10 ","N","9  ","W","2200 ","FNL   ","          ","40   ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10900-  ","46534   ","   ","       ","GAS ","OD                  ",False,"2013-04-10","2013-05-01","",".6 MI S OF TUMBLING SHOALS    ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","7     ","DW",3200,7884,10000,"                                                  ","WORK","DRL",4,-91.96956,35.531105,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
"2013-05-07","1263529","1263529",True,False,"AR","  ","CLEBURNE       ","DALE DECKARD 10-9             ","4-4 H8                   ","4-10N-9W-1241FNL-667FWL                                     ","4   ","10 ","N","9  ","W","1241 ","FNL   ","          ","667  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","8-10N-9W-2200FNL-640FEL                                     ","8   ","10 ","N","9  ","W","2200 ","FNL   ","          ","640  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10901-  ","46535   ","   ","       ","GAS ","OD                  ",False,"2013-04-10","2013-05-10","",".6 MI S OF TUMBLING SHOALS    ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","7     ","DW",3200,0,10800,"                                                  ","PREP","ASN",1,-91.969557,35.531159,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
"2013-05-07","1261116","1261116",False,False,"AR","  ","COLUMBIA       ","SOUTER-WHITLOW                ","7                        ","21-18S-21W-805FNL-255FWL                                    ","21  ","18 ","S","21 ","W","805  ","FNL   ","          ","255  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","DIR","COLUMBIA       ","21-18S-21W-280FNL-920FWL                                    ","21  ","18 ","S","21 ","W","280  ","FNL   ","          ","920  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","DORCHEAT MACEDONIA  ","                    ","                    ","                    ","                    ","03-027-11921-  ","46447   ","   ","       ","OIL ","OD                  ",False,"2013-02-28","2013-04-15","","7 MI SO OF MAGNOLIA           ","RELIANCE WELL SERVICE, INC.            ","CHRIS STORY/MAX STORY             ","870-234-2700        ","P.O. BOX 787                           ","MAGNOLIA                 ","AR","71754-0787","RR4   ","  ",8800,0,8892,"                                                  ","WORK","DRL",2,-93.29517,33.166243,"BONANZA CREEK ENERGY RESOURCES, LLC    ","RICHARD POMRENKE/JOHN LARSON      ","713-337-1250","4 HOUSTON CENTER,1331 LAMAR, SUITE 1135","HOUSTON                  ","TX","77010     "
"2013-05-07","1261102","1261102",False,False,"AR","  ","COLUMBIA       ","MCWILLIAMS                    ","7                        ","17-18S-21W-2421FSL-1033FWL                                  ","17  ","18 ","S","21 ","W","2421 ","FSL   ","          ","1033 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","DIR","COLUMBIA       ","17-18S-21W-2360FNL-1351FWL                                  ","17  ","18 ","S","21 ","W","2360 ","FNL   ","          ","1351 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","DORCHEAT MACEDONIA  ","                    ","                    ","                    ","                    ","03-027-11925-  ","46468   ","   ","       ","OIL ","OD                  ",False,"2013-03-13","2013-04-22","","7 MI SW OF MAGNOLIA           ","RELIANCE WELL SERVICE, INC.            ","CHRIS STORY/MAX STORY             ","870-234-2700        ","P.O. BOX 787                           ","MAGNOLIA                 ","AR","71754-0787","RR2   ","  ",8800,0,8848,"                                                  ","WORK","DRL",1,-93.309567,33.175423,"BONANZA CREEK ENERGY RESOURCES, LLC    ","RICHARD POMRENKE/JOHN LARSON      ","713-337-1250","4 HOUSTON CENTER,1331 LAMAR, SUITE 1135","HOUSTON                  ","TX","77010     "
"2013-05-07","1245765","1245765",False,False,"AR","  ","CONWAY         ","MAXFIELD                      ","2-34 H                   ","34-8N-15W-260FSL-668FWL                                     ","34  ","8  ","N","15 ","W","260  ","FSL   ","          ","668  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CONWAY         ","34-8N-15W-50FNL-580FWL                                      ","34  ","8  ","N","15 ","W","50   ","FNL   ","          ","580  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-029-11217-  ","46364   ","   ","132401 ","GAS ","OD                  ",False,"2013-01-30","2013-04-22","","2 MI NW OF SPRINGFIELD        ","LATSHAW DRILLING & EXPLORATION COMPANY ","TOMMY LINDSEY/JOHN RAINWATER      ","918-355-4380        ","P.O. BOX 691017                        ","TULSA                    ","OK","74169-1017","33    ","  ",6060,0,11300,"                                                  ","WORK","DRL",4,-92.588128,35.284502,"XTO ENERGY, INC.                       ","KENT SAMS/GREG BATES/KEITH SIMPSON","405-232-4011","210 PARK AVENUE, SUITE 2350            ","OKLAHOMA CITY            ","OK","73102-5683"
"2013-05-07","1240355","1240355",False,False,"AR","  ","CONWAY         ","GUINN 9-15                    ","4-26 H35                 ","26-9N-15W-267FSL-648FEL                                     ","26  ","9  ","N","15 ","W","267  ","FSL   ","          ","648  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CONWAY         ","35-9N-15W-10FSL-1871FEL                                     ","35  ","9  ","N","15 ","W","10   ","FSL   ","          ","1871 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-029-11191-  ","46291   ","   ","       ","GAS ","OD                  ",False,"2013-01-10","2013-04-12","",".9 MI S OF CENTER RIDGE       ","HELMERICH & PAYNE I.D.C.               ","JASON COON/HEATH DEASON           ","501-268-8400        ","3569 HIGHWAY 367 SOUTH                 ","SEARCY                   ","AR","72143-8888","495   ","DW",4800,0,16000,"                                                  ","WORK","DRL",5,-92.554092,35.385462,"BHP BILLITON PETR. (FAYETTEVILLE), LLC ","MIKE CHURCHWELL                   ","501-305-3603","1686 LETONA ROAD                       ","SEARCY                   ","AR","72143     "
"2013-05-07","1240381","1240381",True,False,"AR","  ","CONWAY         ","LEDBETTER 7-16                ","7-14 H                   ","14-7N-16W-325FSL-1067FEL                                    ","14  ","7  ","N","16 ","W","325  ","FSL   ","          ","1067 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CONWAY         ","14-7N-15W-300FNL-1837FEL                                    ","14  ","7  ","N","15 ","W","300  ","FNL   ","          ","1837 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-029-11196-  ","46296   ","   ","       ","GAS ","OD                  ",False,"2013-01-10","2013-05-09","","1.2 MI SE OF SOLGOHACHIA      ","DESOTO DRILLING, INC.                  ","RANDY PAYNE                       ","501-548-6600        ","P.O. BOX 789                           ","CONWAY                   ","AR","72032-0789","26    ","DW",6000,0,11500,"                                                  ","WORK","MOL",2,-92.6659,35.242899,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125","HOUSTON                  ","TX","77032-3126"
