"date_prod","mast_id","well_id","state_name","dist_name","county_sl","wellnam_sl","wellnum_sl","legal_sl","sec_sl","twn_sl","twndir_sl","rng_sl","rngdir_sl","ftg1_sl","ftg1dir_sl","ftg1ref_sl","ftg2_sl","ftg2dir_sl","ftg2ref_sl","qtrsec_sl","ftgcor_sl","crtrqd1_sl","crtrqd2_sl","abstno_sl","blknam_sl","blknum_sl","srvynam_sl","srvynum_sl","well_ornt","county_bh","legal_bh","sec_bh","twn_bh","twndir_bh","rng_bh","rngdir_bh","ftg1_bh","ftg1dir_bh","ftg1ref_bh","ftg2_bh","ftg2dir_bh","ftg2ref_bh","qtrsec_bh","ftgcor_bh","crtrqd1_bh","crtrqd2_bh","abstno_bh","blknam_bh","blknum_bh","srvynam_bh","srvynum_bh","field_1","field_2","field_3","field_4","field_5","api_num","perm_num","well_purp","well_class","work_type","h2s_gas","date_post","date_aprv","well_prox","p_t_d","add_info","recrd_stat","map_ref","well_long","well_lat","oper_name","oper_cont","oper_phone","oper_addr","oper_city","oper_state","oper_zip"
"2013-05-21","1272338","1272338","AR","  ","CLEBURNE       ","BITTLE                        ","1-22 H                   ","22-11N-11W-275FNL-1870FWL                                   ","22  ","11 ","N","11 ","W","275  ","FNL   ","          ","1870 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","22-11N-11W-560FSL-90FWL                                     ","22  ","11 ","N","11 ","W","560  ","FSL   ","          ","90   ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10927-  ","46624   ","   ","GAS ","OD                  ",False,"2013-05-16","2013-05-16",".7 MI E OF GREERS FERRY       ",2602,"                                                  ","APRV",1,-92.152676,35.578577,"XTO ENERGY, INC.                       ","KENT SAMS/GREG BATES/KEITH SIMPSON","405-232-4011","210 PARK AVENUE, SUITE 2350             ","OKLAHOMA CITY            ","OK","73102-5683"
"2013-05-21","1272716","1272716","AR","  ","CLEBURNE       ","SNEED 9-11                    ","14-31 H30                ","31-9N-11W-435FNL-634FEL                                     ","31  ","9  ","N","11 ","W","435  ","FNL   ","          ","634  ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","30-9N-11W-0FNL-1583FEL                                      ","30  ","9  ","N","11 ","W","0    ","FNL   ","          ","1583 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10929-  ","46632   ","   ","GAS ","OD                  ",False,"2013-05-17","2013-05-17","1 MI SE OF QUITMAN            ",4800,"                                                  ","APRV",1,-92.202122,35.376078,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-21","1273402","1273402","AR","  ","CLEBURNE       ","SHEPHERD 10-8                 ","4-26 H23                 ","26-10N-8W-1623FNL-1743FWL                                   ","26  ","10 ","N","8  ","W","1623 ","FNL   ","          ","1743 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","23-10N-8W-500FNL-1646FWL                                    ","23  ","10 ","N","8  ","W","500  ","FNL   ","          ","1646 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10932-  ","46638   ","   ","GAS ","OD                  ",False,"2013-05-21","2013-05-21","2.7 MI NE OF PANGBURN         ",3000,"                                                  ","APRV",1,0.0,0.0,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-21","1273403","1273403","AR","  ","CLEBURNE       ","SHEPHERD 10-8                 ","5-26 H23                 ","26-10N-8W-1643FNL-1742FWL                                   ","26  ","10 ","N","8  ","W","1643 ","FNL   ","          ","1742 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","23-10N-8W-500FNL-2395FWL                                    ","23  ","10 ","N","8  ","W","500  ","FNL   ","          ","2395 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10933-  ","46639   ","   ","GAS ","OD                  ",False,"2013-05-21","2013-05-21","2.7 MI NE OF PANGBURN         ",3000,"                                                  ","APRV",1,0.0,0.0,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-21","1273445","1273445","AR","  ","CLEBURNE       ","SHEPHERD 10-8                 ","2-26 H23                 ","26-10N-8W-1683FNL-1740FWL                                   ","26  ","10 ","N","8  ","W","1683 ","FNL   ","          ","1740 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","23-10N-8W-500FNL-146FWL                                     ","23  ","10 ","N","8  ","W","500  ","FNL   ","          ","146  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10930-  ","46636   ","   ","GAS ","OD                  ",False,"2013-05-21","2013-05-21","2.7 MI NE OF PANGBURN         ",3000,"                                                  ","APRV",1,0.0,0.0,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-21","1273458","1273458","AR","  ","CLEBURNE       ","SHEPHERD 10-8                 ","3-26 H23                 ","26-10N-8W-1683FNL-1741FWL                                   ","26  ","10 ","N","8  ","W","1683 ","FNL   ","          ","1741 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","23-10N-8W-500FNL-896FWL                                     ","23  ","10 ","N","8  ","W","500  ","FNL   ","          ","896  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10931-  ","46637   ","   ","GAS ","OD                  ",False,"2013-05-21","2013-05-21","2.7 MI NE OF PANGBURN         ",3000,"                                                  ","APRV",1,0.0,0.0,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-21","1272704","1272704","AR","  ","CONWAY         ","ROGER STRATTON 8-16           ","3-35 H23                 ","35-8N-16W-1832FNL-1974FEL                                   ","35  ","8  ","N","16 ","W","1832 ","FNL   ","          ","1974 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CONWAY         ","23-8N-16W-1627FSL-2360FWL                                   ","23  ","8  ","N","16 ","W","1627 ","FSL   ","          ","2360 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-029-11262-  ","46626   ","   ","GAS ","OD                  ",False,"2013-05-17","2013-05-17","2.5 MI N OF SOLGOHACHIA       ",6500,"                                                  ","APRV",1,-92.66713,35.294748,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-21","1272705","1272705","AR","  ","CONWAY         ","WALKER                        ","2-30 H                   ","30-8N-14W-194FSL-2020FWL                                    ","30  ","8  ","N","14 ","W","194  ","FSL   ","          ","2020 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CONWAY         ","30-8N-14W-250FNL-1387FWL                                    ","30  ","8  ","N","14 ","W","250  ","FNL   ","          ","1387 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-029-11267-  ","46633   ","   ","GAS ","OD                  ",False,"2013-05-17","2013-05-17","2.7 MI NE OF SPRINGFIELD      ",5584,"                                                  ","APRV",1,-92.529747,35.297316,"XTO ENERGY, INC.                       ","KENT SAMS/GREG BATES/KEITH SIMPSON","405-232-4011","210 PARK AVENUE, SUITE 2350             ","OKLAHOMA CITY            ","OK","73102-5683"
"2013-05-21","1272706","1272706","AR","  ","CONWAY         ","ROGER STRATTON 8-16           ","4-35 H23                 ","35-8N-16W-1832FNL-1954FEL                                   ","35  ","8  ","N","16 ","W","1832 ","FNL   ","          ","1954 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CONWAY         ","23-8N-16W-830FSL-2394FEL                                    ","23  ","8  ","N","16 ","W","830  ","FSL   ","          ","2394 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-029-11263-  ","46627   ","   ","GAS ","OD                  ",False,"2013-05-17","2013-05-17","2.5 MI N OF SOLGOHACHIA       ",6200,"                                                  ","APRV",1,-92.667063,35.294748,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-05-21","1272707","1272707","AR","  ","CONWAY         ","WALKER                        ","3-30 H                   ","30-8N-14W-194SLS-2038FWL                                    ","30  ","8  ","N","14 ","W","194  ","SLS   ","          ","2038 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CONWAY         ","30-8N-14W-250FNL-1987FWL                                    ","30  ","8  ","N","14 ","W","250  ","FNL   ","          ","1987 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-029-11268-  ","46634   ","   ","GAS ","OD                  ",False,"2013-05-17","2013-05-17","2.7 MI NE OF SPRINGFIELD      ",5584,"                                                  ","APRV",1,-92.529688,35.297316,"XTO ENERGY, INC.                       ","KENT SAMS/GREG BATES/KEITH SIMPSON","405-232-4011","210 PARK AVENUE, SUITE 2350             ","OKLAHOMA CITY            ","OK","73102-5683"
