"date_prod","mast_id","well_id","state_name","dist_name","county_sl","wellnam_sl","wellnum_sl","legal_sl","sec_sl","twn_sl","twndir_sl","rng_sl","rngdir_sl","ftg1_sl","ftg1dir_sl","ftg1ref_sl","ftg2_sl","ftg2dir_sl","ftg2ref_sl","qtrsec_sl","ftgcor_sl","crtrqd1_sl","crtrqd2_sl","abstno_sl","blknam_sl","blknum_sl","srvynam_sl","srvynum_sl","well_ornt","county_bh","legal_bh","sec_bh","twn_bh","twndir_bh","rng_bh","rngdir_bh","ftg1_bh","ftg1dir_bh","ftg1ref_bh","ftg2_bh","ftg2dir_bh","ftg2ref_bh","qtrsec_bh","ftgcor_bh","crtrqd1_bh","crtrqd2_bh","abstno_bh","blknam_bh","blknum_bh","srvynam_bh","srvynum_bh","field_1","field_2","field_3","field_4","field_5","api_num","perm_num","well_purp","well_class","work_type","h2s_gas","date_post","date_aprv","well_prox","p_t_d","add_info","recrd_stat","map_ref","well_long","well_lat","oper_name","oper_cont","oper_phone","oper_addr","oper_city","oper_state","oper_zip"
"2013-04-30","1266540","1266540","AR","  ","CLEBURNE       ","NAYLOR 10-11-1                ","1-36 H31                 ","36-10N-11W-2321FNL-384FWL                                   ","36  ","10 ","N","11 ","W","2321 ","FNL   ","          ","384  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","                                                            ","    ","   "," ","   "," ","     ","      ","          ","     ","      ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10902-  ","46536   ","   ","GAS ","OD                  ",False,"2013-04-24","2013-04-10","                              ",0,"                                                  ","APRV",1,-92.125452,35.458548,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-04-30","1266585","1266585","AR","  ","CLEBURNE       ","O'DWYER 10-9                  ","5-21 H28                 ","21-10N-9W-2291FSL-1359FWL                                   ","21  ","10 ","N","9  ","W","2291 ","FSL   ","          ","1359 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","28-10N-9W-490FSL-600FWL                                     ","28  ","10 ","N","9  ","W","490  ","FSL   ","          ","600  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10910-  ","46549   ","   ","GAS ","OD                  ",False,"2013-04-24","2013-04-24","3.5 MI SW OF HEBER SPRINGS    ",3800,"                                                  ","APRV",1,-91.968821,35.48263,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-04-30","1267290","1267290","AR","  ","CLEBURNE       ","JOHNSTON FAMILY TRUST 9-11    ","5-6 H7                   ","8-9N-11W-330FNL-160FWL                                      ","8   ","9  ","N","11 ","W","330  ","FNL   ","          ","160  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","7-9N-11W-2645FNL-1247FWL                                    ","7   ","9  ","N","11 ","W","2645 ","FNL   ","          ","1247 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10918-  ","46560   ","   ","GAS ","OD                  ",False,"2013-04-26","2013-04-25","1 MI S OF CROSSROADS          ",3700,"                                                  ","APRV",1,-92.198063,35.434343,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-04-30","1267292","1267292","AR","  ","CLEBURNE       ","JOHNSTON FAMILY TRUST 9-11    ","6-6 H7                   ","6-9N-11W-330FNL-120FWL                                      ","6   ","9  ","N","11 ","W","330  ","FNL   ","          ","120  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","7-9N-11W-2498FSL-849FWL                                     ","7   ","9  ","N","11 ","W","2498 ","FSL   ","          ","849  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10919-  ","46561   ","   ","GAS ","OD                  ",False,"2013-04-26","2013-04-25","1 MI S OF CROSSROADS          ",3700,"                                                  ","APRV",1,-92.214451,35.449354,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-04-30","1267293","1267293","AR","  ","CLEBURNE       ","JOHNSTON FAMILY TRUST 9-11    ","7-6 H31                  ","6-9N-11W-330FNL-140FWL                                      ","6   ","9  ","N","11 ","W","330  ","FNL   ","          ","140  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","31-9N-11W-30FNL-492FWL                                      ","31  ","9  ","N","11 ","W","30   ","FNL   ","          ","492  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10920-  ","46562   ","   ","GAS ","OD                  ",False,"2013-04-26","2013-04-25","1 MI S OF CROSSROADS          ",4400,"                                                  ","APRV",1,-92.214382,35.449354,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-04-30","1267294","1267294","AR","  ","CLEBURNE       ","JOHNSTON FAMILY TRUST 9-11    ","8-6 H                    ","6-9N-11W-330FNL-100FWL                                      ","6   ","9  ","N","11 ","W","330  ","FNL   ","          ","100  ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","6-9N-11W-505FSL-42FWL                                       ","6   ","9  ","N","11 ","W","505  ","FSL   ","          ","42   ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10921-  ","46563   ","   ","GAS ","OD                  ",False,"2013-04-26","2013-04-25","1 MI S OF CROSSROADS          ",4400,"                                                  ","APRV",1,-92.214518,35.449354,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-04-30","1267286","1267286","AR","  ","CLEBURNE       ","GREEN BAY PACKAGING 10-8      ","4-11 H2                  ","11-10N-8W-1949FSL-1901FWL                                   ","11  ","10 ","N","8  ","W","1949 ","FSL   ","          ","1901 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","2-10N-8W-800FNL-1579FWL                                     ","2   ","10 ","N","8  ","W","800  ","FNL   ","          ","1579 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10916-  ","46557   ","   ","GAS ","OD                  ",False,"2013-04-26","2013-04-25","3.3 MI E OF WILBURN           ",2900,"                                                  ","APRV",1,-91.823908,35.511209,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-04-30","1267287","1267287","AR","  ","CLEBURNE       ","GREEN BAY PACKAGING 10-8      ","5-11 H2                  ","11-10N-8W-1949FSL-1921FWL                                   ","11  ","10 ","N","8  ","W","1949 ","FSL   ","          ","1921 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","2-10N-8W-800FNL-2171FWL                                     ","2   ","10 ","N","8  ","W","800  ","FNL   ","          ","2171 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10917-  ","46558   ","   ","GAS ","OD                  ",False,"2013-04-26","2013-04-25","3.3 MI E OF WILBURN           ",2900,"                                                  ","APRV",1,-91.823841,35.511206,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-04-30","1267333","1267333","AR","  ","CLEBURNE       ","MCNAIR 9-11                   ","2-34 H                   ","34-9N-11W-291FSL-2282FWL                                    ","34  ","9  ","N","11 ","W","291  ","FSL   ","          ","2282 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","34-9N-11W-490FNL-1609FWL                                    ","34  ","9  ","N","11 ","W","490  ","FNL   ","          ","1609 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10911-  ","46552   ","   ","GAS ","OD                  ",False,"2013-04-26","2013-04-25","3.6 MI SE OF QUITMAN          ",5500,"                                                  ","APRV",1,-92.156879,35.363058,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
"2013-04-30","1267338","1267338","AR","  ","CLEBURNE       ","MCNAIR 9-11                   ","5-34 H                   ","34-9N-11W-291FSL-2342FWL                                    ","34  ","9  ","N","11 ","W","291  ","FSL   ","          ","2342 ","FWL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","HOR","CLEBURNE       ","34-9N-11W-490FNL-1910FEL                                    ","34  ","9  ","N","11 ","W","490  ","FNL   ","          ","1910 ","FEL   ","          ","            ","   ","  ","  ","     ","                                ","    ","                                ","    ","B-43                ","                    ","                    ","                    ","                    ","03-023-10914-  ","46555   ","   ","GAS ","OD                  ",False,"2013-04-26","2013-04-25","3.6 MI SE OF QUITMAN          ",5500,"                                                  ","APRV",1,-92.156679,35.363058,"SEECO, INC.                            ","DOUG VAN SLANBROUCK/SONNY BRYAN   ","281-618-4700","2350 N. SAM HOUSTON PKWY. E., SUITE 125 ","HOUSTON                  ","TX","77032-3126"
